parametro,id4cast
p1,0.530612924
p1,0.534647381
p1,0.527157913
p1,0.515899598
p1,0.517208629
p1,0.549084415
p1,0.533036232
p1,0.527342368
p1,0.536651136
p1,0.540075198
p1,0.520703097
p1,0.545949243
p1,0.524232053
p1,0.534041244
p1,0.535709022
p1,0.511770683
p1,0.539893751
p1,0.537020947
p1,0.053996568
p1,0.516482072
p1,0.534136603
p1,0.530519267
p1,0.518373289
p1,0.508692079
p1,0.523722273
p1,0.530024323
p1,0.53333087
p1,0.529158224
p1,0.534521593
p1,0.052928271
p1,0.540166985
p1,0.5252708
p1,0.545833947
p1,0.549554783
p1,0.536585918
p1,0.54109169
p1,0.528989285
p1,0.529568518
p1,0.518788144
p1,0.538610474
p1,0.053307924
p1,0.53330287
p1,0.537377352
p1,0.053452665
p1,0.526994385
p1,0.051573564
p1,0.050905108
p1,0.513083144
p1,0.515223017
p1,0.543202623
p1,0.052587316
p1,0.053662154
p1,0.533805336
p1,0.523013952
p1,0.523369009
p1,0.544868114
p1,0.547578512
p1,0.518147739
p1,0.54175653
p1,0.528898134
p1,0.525548362
p1,0.531106849
p1,0.055138973
p1,0.53225782
p1,0.518563315
p1,0.529133479
p1,0.527032065
p1,0.530694818
p1,0.520495458
p1,0.053648878
p1,0.52242706
p1,0.534613995
p1,0.538786586
p1,0.54489324
p1,0.53689619
p1,0.543712309
p1,0.524169522
p1,0.541973294
p1,0.053545415
p1,0.543224811
p1,0.528415659
p1,0.527050886
p1,0.548115258
p1,0.515888332
p1,0.545111182
p1,0.53721418
p1,0.535221888
p1,0.524955316
p1,0.54341281
p1,0.530887777
p1,0.505499239
p1,0.524243931
p1,0.523048328
p1,0.54320023
p1,0.528155772
p1,0.05354029
p1,0.528597152
p1,0.520002082
p1,0.052983456
p1,0.0052362
p1,0.525165012
p1,0.542703542
p1,0.534928975
p1,0.524995777
p1,0.537071789
p1,0.516106691
p1,0.554970279
p1,0.540817143
p1,0.053853067
p1,0.551346746
p1,0.055118445
p1,0.053588357
p1,0.541369059
p1,0.518140936
p1,0.547346471
p1,0.540405151
p1,0.526652407
p1,0.052946141
p1,0.536000906
p1,0.533105644
p1,0.529553626
p1,0.523561914
p1,0.527381826
p1,0.514390959
p1,0.527669034
p1,0.51683609
p1,0.55042135
p1,0.541587802
p1,0.522145564
p1,0.525365062
p1,0.538367433
p1,0.054515621
p1,0.513535315
p1,0.524589551
p1,0.52699664
p1,0.528064402
p1,0.535670252
p1,0.540368609
p1,0.518703279
p1,0.535034286
p1,0.519354022
p1,0.519453335
p1,0.053663254
p1,0.53985419
p1,0.529966079
p1,0.530970236
p1,0.052212246
p1,0.540505507
p1,0.52758613
p1,0.515123
p1,0.551276635
p1,0.533752002
p1,0.540069387
p1,0.504694165
p1,0.52948588
p1,0.534536585
p1,0.515613816
p1,0.518789068
p1,0.539428937
p1,0.54380488
p1,0.539015079
p1,0.053902014
p1,0.005466377
p1,0.518061094
p1,0.507784966
p1,0.523412611
p1,0.535640762
p1,0.540282422
p1,0.052769993
p1,0.528830534
p1,0.528854364
p1,0.524094126
p1,0.535135316
p1,0.537990793
p1,0.538558361
p1,0.527932173
p1,0.518639549
p1,0.531441024
p1,0.527799945
p1,0.52121257
p1,0.520611801
p1,0.531103536
p1,0.530038621
p1,0.526946841
p1,0.528985287
p1,0.511476775
p1,0.534540327
p1,0.052366965
p1,0.546326974
p1,0.531323585
p1,0.05380971
p1,0.517468185
p1,0.537879769
p1,0.536379783
p1,0.052485387
p1,0.052508223
p1,0.524412351
p1,0.529341024
p1,0.528887442
p1,0.540093272
p1,0.005473409
p1,0.526283777
p1,0.541939316
p1,0.536849328
p1,0.521925674
p1,0.528396926
p1,0.526159731
p1,0.538738828
p1,0.543993915
p1,0.519410638
p1,0.524024037
p1,0.543993855
p1,0.521014599
p1,0.512507953
p1,0.052965891
p1,0.526113375
p1,0.529801562
p1,0.052676442
p1,0.005432791
p1,0.548244946
p1,0.542065959
p1,0.533382116
p1,0.539392534
p1,0.527331093
p1,0.528623144
p1,0.053904678
p1,0.518175282
p1,0.533935858
p1,0.051645895
p1,0.517950487
p1,0.529199051
p1,0.524958515
p1,0.525011866
p1,0.502239424
p1,0.52898505
p1,0.515906811
p1,0.535606104
p1,0.555551269
p1,0.539816614
p1,0.529850887
p1,0.541033653
p1,0.533915366
p1,0.530833034
p1,0.513457196
p1,0.532277036
p1,0.522432508
p1,0.537331005
p1,0.549751326
p1,0.052129799
p1,0.53891441
p1,0.543532924
p1,0.528908422
p1,0.541187102
p1,0.542111327
p1,0.526801946
p1,0.535670772
p1,0.537939687
p1,0.537096124
p1,0.531468493
p1,0.529697991
p1,0.053678219
p1,0.532165873
p1,0.546436839
p1,0.526463161
p1,0.503105454
p1,0.526435957
p1,0.521905895
p1,0.513945109
p1,0.524032039
p1,0.540374629
p1,0.534385074
p1,0.558115449
p1,0.542313566
p1,0.533239437
p1,0.549187333
p1,0.525864564
p1,0.532803064
p1,0.533567827
p1,0.527436397
p1,0.052284673
p1,0.522706692
p1,0.544720825
p1,0.535525783
p1,0.543687214
p1,0.518703279
p1,0.532360283
p1,0.542468576
p1,0.054207714
p1,0.514484171
p1,0.520639267
p1,0.512796595
p1,0.529300766
p1,0.528340574
p1,0.543299322
p1,0.529488135
p1,0.553688303
p1,0.521643239
p1,0.523778268
p1,0.530548003
p1,0.529250831
p1,0.534907693
p1,0.054863623
p1,0.527531704
p1,0.523781876
p1,0.535822346
p1,0.52452321
p1,0.518746551
p1,0.526672635
p1,0.530244798
p1,0.539109285
p1,0.527107395
p1,0.518050712
p1,0.540260057
p1,0.515325604
p1,0.534269186
p1,0.535890332
p1,0.524746396
p1,0.527215222
p1,0.537389295
p1,0.53514345
p1,0.526391904
p1,0.519563138
p1,0.529660531
p1,0.0530138
p1,0.528358672
p1,0.534285051
p1,0.509637671
p1,0.532456365
p1,0.514733533
p1,0.535803336
p1,0.540424664
p1,0.532922153
p1,0.055211342
p1,0.538238647
p1,0.534681254
p1,0.520739618
p1,0.532808354
p1,0.533718359
p1,0.527479853
p1,0.544749271
p1,0.053648897
p1,0.531724632
p1,0.552221632
p1,0.515520778
p1,0.548691976
p1,0.532765663
p1,0.524631205
p1,0.521649119
p1,0.523025401
p1,0.52902249
p1,0.535093114
p1,0.549091856
p1,0.52876123
p1,0.054382096
p1,0.517945232
p1,0.528406168
p1,0.541170059
p1,0.005280007
p1,0.540307646
p1,0.520193512
p1,0.543355666
p1,0.526939346
p1,0.515870138
p1,0.538086702
p1,0.546453092
p1,0.554096995
p1,0.531421206
p1,0.535145584
p1,0.544554938
p1,0.545287649
p1,0.534665962
p1,0.518753399
p1,0.535811829
p1,0.530439574
p1,0.531084561
p1,0.541236405
p1,0.536962783
p1,0.51446438
p1,0.535009302
p1,0.527359285
p1,0.543666325
p1,0.54864922
p1,0.531040946
p1,0.531029592
p1,0.526150267
p1,0.53093318
p1,0.539904207
p1,0.525011866
p1,0.508190691
p1,0.52598097
p1,0.528394356
p1,0.512953962
p1,0.543894388
p1,0.537411907
p1,0.537994807
p1,0.525739137
p1,0.515057104
p1,0.527138126
p1,0.529115175
p1,0.523155694
p1,0.532047707
p1,0.530742122
p1,0.518361348
p1,0.548568732
p1,0.529718461
p1,0.535639739
p1,0.535319433
p1,0.534561235
p1,0.051942165
p1,0.533501534
p1,0.516401884
p1,0.530422164
p1,0.545954436
p1,0.543848004
p1,0.521189201
p1,0.542420087
p1,0.521658943
p1,0.52320877
p1,0.525544255
p1,0.52566466
p1,0.531776929
p1,0.532693263
p1,0.525109405
p1,0.515083168
p1,0.523166522
p1,0.533067347
p1,0.531323804
p1,0.515701943
p1,0.530373534
p1,0.535685476
p1,0.516866661
p1,0.531938017
p1,0.538303101
p1,0.539568554
p1,0.538098213
p1,0.542242901
p1,0.540166625
p1,0.538478822
p1,0.530332043
